15,28,41,54,67,80,93,104,115,124,133,140,147,148,149
17,32,47,62,77,92,107,120,133,146,159,170,181,188,195
19,36,53,70,87,104,121,138,155,170,185,198,211,222,233
21,40,59,78,97,116,135,154,173,190,207,224,241,256,271
23,44,65,86,107,128,149,170,191,210,229,248,267,284,301
25,48,71,94,117,140,163,186,209,230,251,272,293,312,331
27,52,77,102,127,152,177,202,227,252,277,300,323,344,365
29,56,83,110,137,164,191,218,245,272,299,324,349,374,399
